trade_id,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,pnl_gross,pnl_net,pnl_r,session,spread_cost,slippage_cost,total_cost,mae,mfe,holding_bars,exit_reason,confidence
37,2026-02-18 07:00:00-05:00,2026-02-18 09:00:00-05:00,long,4963.5,4977.7,4953.9,4977.9,14.2,13.5,1.4063,london,0.5,0.2,0.7,0.0,48.7998,2,tp,0.6502
38,2026-02-18 14:00:00-05:00,2026-02-18 19:00:00-05:00,short,5000.2002,4985.9859,5010.643,4985.7859,14.2143,13.5143,1.2941,overlap,0.5,0.2,0.7,5.0996,20.0,4,tp,0.6973
39,2026-02-19 00:00:00-05:00,2026-02-19 01:00:00-05:00,long,5015.5,5028.0446,5007.0036,5028.2446,12.5446,11.8446,1.3941,asian,0.5,0.2,0.7,0.0,19.8999,1,tp,0.85
40,2026-02-19 06:00:00-05:00,2026-02-19 08:00:00-05:00,short,5002.7998,5012.3427,5012.1427,4990.0355,-9.5429,-10.2429,-1.0963,asian,0.5,0.2,0.7,13.8003,0.0,2,sl,0.8408
41,2026-02-19 09:00:00-05:00,2026-02-19 11:00:00-05:00,long,5024.6001,5014.6822,5014.8822,5039.1769,-9.9179,-10.6179,-1.0926,london,0.5,0.2,0.7,10.3999,8.7998,2,sl,0.6574
42,2026-02-19 13:00:00-05:00,2026-02-19 15:00:00-05:00,short,5000.2002,5011.8145,5011.6145,4984.3288,-11.6143,-12.3143,-1.0788,overlap,0.5,0.2,0.7,20.3999,0.0,2,sl,0.6606
43,2026-02-19 19:00:00-05:00,2026-02-19 21:00:00-05:00,long,5024.5,5013.725,5013.925,5040.3625,-10.775,-11.475,-1.0851,new_york,0.5,0.2,0.7,10.7998,0.0,2,sl,0.7212
44,2026-02-19 22:00:00-05:00,2026-02-19 23:00:00-05:00,short,5005.5,5017.0286,5016.8286,4989.7571,-11.5286,-12.2286,-1.0794,new_york,0.5,0.2,0.7,12.0,0.0,1,sl,0.6004
45,2026-02-19 23:00:00-05:00,2026-02-20 01:00:00-05:00,long,5017.5,5032.9322,5007.0785,5033.1322,15.4322,14.7322,1.4136,new_york,0.5,0.2,0.7,0.0,22.1001,2,tp,0.6217
46,2026-02-20 01:00:00-05:00,2026-02-20 02:00:00-05:00,long,5039.6001,5030.4893,5030.6893,5052.9662,-9.1107,-9.8107,-1.101,asian,0.5,0.2,0.7,14.3003,0.0,1,sl,0.7814
47,2026-02-20 07:00:00-05:00,2026-02-20 08:00:00-05:00,long,5044.5,5058.9839,5034.7107,5059.1839,14.4839,13.7839,1.4081,london,0.5,0.2,0.7,0.0,19.0,1,tp,0.6684
48,2026-02-20 11:00:00-05:00,2026-02-20 15:00:00-05:00,long,5087.0,5106.0589,5074.1607,5106.2589,19.0589,18.3589,1.4299,london,0.5,0.2,0.7,0.0,32.3999,4,tp,0.8338
49,2026-02-22 18:00:00-05:00,2026-02-22 19:00:00-05:00,long,5187.2002,5169.7323,5169.9323,5213.102,-17.4679,-18.1679,-1.0521,new_york,0.5,0.2,0.7,21.3003,0.0,1,sl,0.7742
