trade_id,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,pnl_gross,pnl_net,pnl_r,session,spread_cost,slippage_cost,total_cost,mae,mfe,holding_bars,exit_reason,confidence
20,2026-03-03 09:00:00-05:00,2026-03-03 20:00:00-05:00,short,5045.0,5152.5107,5151.5107,4840.9787,-107.5107,-111.5107,-1.0469,london,3.0,1.0,4.0,138.7002,0.0,10,sl,0.65
21,2026-03-09 21:00:00-04:00,2026-03-11 18:00:00-04:00,long,5193.2002,5147.9287,5148.9287,5281.7432,-45.2715,-49.2715,-1.1129,new_york,3.0,1.0,4.0,48.4004,44.7998,43,sl,0.65
22,2026-03-11 18:00:00-04:00,2026-03-12 03:00:00-04:00,short,5141.7998,5180.9535,5179.9535,5074.4924,-39.1537,-43.1537,-1.131,new_york,3.0,1.0,4.0,46.6001,1.7998,9,sl,0.65
23,2026-03-13 10:00:00-04:00,2026-03-18 06:00:00-04:00,short,5042.7998,4977.7786,5080.3104,4976.7786,65.0212,61.0212,1.6268,london,3.0,1.0,4.0,8.1001,71.0996,65,tp,0.65
24,2026-03-18 07:00:00-04:00,2026-03-18 11:00:00-04:00,short,4930.2998,4873.85,4963.5247,4872.85,56.4498,52.4498,1.5786,london,3.0,1.0,4.0,0.0,64.0,4,tp,0.65
25,2026-03-19 02:00:00-04:00,2026-03-19 07:00:00-04:00,short,4762.2002,4674.0145,4811.293,4673.0145,88.1857,84.1857,1.7148,asian,3.0,1.0,4.0,0.0,107.8003,5,tp,0.65
26,2026-03-19 08:00:00-04:00,2026-03-19 15:00:00-04:00,short,4574.2998,4643.3463,4642.3463,4447.2067,-69.0465,-73.0465,-1.0735,london,3.0,1.0,4.0,73.6001,0.0,7,sl,0.65
27,2026-03-22 20:00:00-04:00,2026-03-23 08:00:00-04:00,short,4353.3999,4444.2499,4443.2499,4182.7,-90.85,-94.85,-1.0556,new_york,3.0,1.0,4.0,127.2002,147.6997,12,sl,0.65
28,2026-03-24 16:00:00-04:00,2026-03-26 12:00:00-04:00,long,4474.8999,4406.582,4407.582,4609.5357,-68.3179,-72.3179,-1.0743,new_york,3.0,1.0,4.0,89.6001,118.3003,73,sl,0.65
29,2026-03-27 10:00:00-04:00,2026-03-29 19:00:00-04:00,long,4540.1001,4491.5072,4492.5072,4635.286,-48.5929,-52.5929,-1.1051,london,3.0,1.0,4.0,63.2002,14.2998,8,sl,0.65
30,2026-03-30 21:00:00-04:00,2026-03-30 23:00:00-04:00,long,4635.5,4583.8999,4577.4822,4751.5356,-51.6001,-55.6001,-0.9583,new_york,3.0,1.0,4.0,0.0,0.0,0,end_of_data,0.65
