trade_id,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,pnl_gross,pnl_net,pnl_r,session,spread_cost,slippage_cost,total_cost,mae,mfe,holding_bars,exit_reason,confidence
74,2026-02-02 20:00:00-05:00,2026-02-02 21:00:00-05:00,long,4862.7002,4857.2002,4858.2002,4868.7002,-5.5,-9.5,-2.1111,new_york,3.0,1.0,4.0,56.5,0.0,1,sl,0.0113
75,2026-02-02 21:00:00-05:00,2026-02-02 22:00:00-05:00,long,4806.2002,4811.2002,4801.7002,4812.2002,5.0,1.0,0.2222,new_york,3.0,1.0,4.0,0.0,25.3999,1,tp,0.09
76,2026-02-04 02:00:00-05:00,2026-02-04 04:00:00-05:00,short,5103.7998,5101.7998,5111.2998,5100.7998,2.0,-2.0,-0.2667,asian,3.0,1.0,4.0,2.7002,21.5,2,tp,0.6656
77,2026-02-04 09:00:00-05:00,2026-02-04 10:00:00-05:00,long,5008.3999,5002.8999,5003.8999,5014.3999,-5.5,-9.5,-2.1111,london,3.0,1.0,4.0,65.2998,0.0,1,sl,0.4128
78,2026-02-04 10:00:00-05:00,2026-02-04 11:00:00-05:00,long,4943.1001,4937.6001,4938.6001,4949.1001,-5.5,-9.5,-2.1111,london,3.0,1.0,4.0,16.2002,0.0,1,sl,0.6496
79,2026-02-04 11:00:00-05:00,2026-02-04 12:00:00-05:00,long,4926.8999,4921.3999,4922.3999,4932.8999,-5.5,-9.5,-2.1111,london,3.0,1.0,4.0,5.6001,0.0,1,sl,0.6613
80,2026-02-04 12:00:00-05:00,2026-02-04 13:00:00-05:00,long,4921.2998,4926.2998,4916.7998,4927.2998,5.0,1.0,0.2222,overlap,3.0,1.0,4.0,0.0,28.4004,1,tp,0.6475
81,2026-02-04 13:00:00-05:00,2026-02-04 14:00:00-05:00,long,4949.7002,4954.7002,4945.2002,4955.7002,5.0,1.0,0.2222,overlap,3.0,1.0,4.0,0.0,13.7998,1,tp,0.3431
82,2026-02-04 14:00:00-05:00,2026-02-04 16:00:00-05:00,long,4963.5,4968.5,4959.0,4969.5,5.0,1.0,0.2222,overlap,3.0,1.0,4.0,1.8999,22.8999,3,tp,0.2249
83,2026-02-04 16:00:00-05:00,2026-02-04 18:00:00-05:00,long,4986.3999,4991.3999,4981.8999,4992.3999,5.0,1.0,0.2222,new_york,3.0,1.0,4.0,0.0,47.0,1,tp,0.1182
84,2026-02-05 04:00:00-05:00,2026-02-05 05:00:00-05:00,long,4876.8999,4881.8999,4872.3999,4882.8999,5.0,1.0,0.2222,asian,3.0,1.0,4.0,0.0,21.0,1,tp,0.001
85,2026-02-05 08:00:00-05:00,2026-02-05 09:00:00-05:00,long,4858.2002,4863.2002,4853.7002,4864.2002,5.0,1.0,0.2222,london,3.0,1.0,4.0,0.0,9.5996,1,tp,0.0666
86,2026-02-05 09:00:00-05:00,2026-02-05 10:00:00-05:00,long,4867.7998,4862.2998,4863.2998,4873.7998,-5.5,-9.5,-2.1111,london,3.0,1.0,4.0,29.1997,0.0,1,sl,0.2709
87,2026-02-05 10:00:00-05:00,2026-02-05 11:00:00-05:00,long,4838.6001,4843.6001,4834.1001,4844.6001,5.0,1.0,0.2222,london,3.0,1.0,4.0,0.0,73.3999,1,tp,0.3542
88,2026-02-05 18:00:00-05:00,2026-02-05 19:00:00-05:00,long,4722.0,4727.0,4717.5,4728.0,5.0,1.0,0.2222,new_york,3.0,1.0,4.0,0.0,57.8999,1,tp,0.2266
89,2026-02-05 20:00:00-05:00,2026-02-05 21:00:00-05:00,long,4792.1001,4797.1001,4787.6001,4798.1001,5.0,1.0,0.2222,new_york,3.0,1.0,4.0,0.0,41.3999,1,tp,0.184
90,2026-02-09 20:00:00-05:00,2026-02-09 21:00:00-05:00,long,5054.8999,5059.8999,5050.3999,5060.8999,5.0,1.0,0.2222,new_york,3.0,1.0,4.0,0.0,6.3003,1,tp,0.0186
91,2026-02-09 22:00:00-05:00,2026-02-10 00:00:00-05:00,long,5051.5,5056.5,5047.0,5057.5,5.0,1.0,0.2222,new_york,3.0,1.0,4.0,0.0,10.3999,3,tp,0.0454
92,2026-02-10 01:00:00-05:00,2026-02-10 02:00:00-05:00,long,5045.7998,5050.7998,5041.2998,5051.7998,5.0,1.0,0.2222,asian,3.0,1.0,4.0,0.0,9.5,1,tp,0.1124
